target,condition,metric,condition_mean,baseline,delta,ci_low,ci_high,p,d
rules_chain_long,three_domain_pretrain,transfer_uses,54.88,fresh,41.25,37.741595,44.758405,0.0,2.328219
rules_chain_long,three_domain_pretrain,transfer_strength,58.054194,fresh,18.533857,11.686616,25.381097,0.0,0.535994
rules_chain_long,three_domain_pretrain,transfer_precision,0.877579,fresh,0.034675,-0.020325,0.089675,0.211875,0.124843
rules_chain_long,three_domain_pretrain,hazard_steps,0.0,fresh,0.0,0.0,0.0,1.0,0.0
rules_chain_long,same_domain_pretrain,first_task_success_tick,29.56,fresh,-0.52,-1.802231,0.762231,0.421941,-0.080306
rules_chain_long,same_domain_pretrain,task_completion_rate,0.12,fresh,0.0,-0.089003,0.089003,1.0,0.0
rules_chain_long,same_domain_pretrain,contradictions,2.49,fresh,0.0,-0.393029,0.393029,1.0,0.0
rules_chain_long,same_domain_pretrain,reward,1.4607,fresh,0.0399,-0.358658,0.438458,0.842857,0.019824
rules_chain_long,same_domain_pretrain,invalid_actions,2.49,fresh,0.0,-0.393029,0.393029,1.0,0.0
rules_chain_long,same_domain_pretrain,final_energy,77.1094,fresh,-9.6104,-11.115416,-8.105384,0.0,-1.264474
rules_chain_long,same_domain_pretrain,prediction_error,0.040603,fresh,-0.083287,-0.102712,-0.063863,0.0,-0.849057
rules_chain_long,same_domain_pretrain,transfer_uses,20.61,fresh,6.98,5.145151,8.814849,0.0,0.753294
rules_chain_long,same_domain_pretrain,transfer_strength,59.015072,fresh,19.494734,13.952168,25.037301,0.0,0.696492
rules_chain_long,same_domain_pretrain,transfer_precision,0.872333,fresh,0.029428,-0.036686,0.095543,0.378092,0.088142
rules_chain_long,same_domain_pretrain,hazard_steps,0.0,fresh,0.0,0.0,0.0,1.0,0.0
