target,condition,metric,fresh,pretrained,delta,ci_low,ci_high,p,d
hazard,hardcoded_compatibility,learned_table_size,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,hardcoded_compatibility,learned_total_observations,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,hardcoded_compatibility,learned_mean_score,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,learned_compatibility,first_task_success_tick,8.845,10.285,1.44,0.465468,2.414532,0.003778,0.204789
hazard,learned_compatibility,task_completion_rate,0.765,0.57,-0.195,-0.281431,-0.108569,1e-05,-0.312683
hazard,learned_compatibility,contradictions,0.825,0.39,-0.435,-0.553367,-0.316633,0.0,-0.509331
hazard,learned_compatibility,reward,5.44515,4.19295,-1.2522,-1.786837,-0.717563,4e-06,-0.324605
hazard,learned_compatibility,invalid_actions,0.825,0.39,-0.435,-0.553367,-0.316633,0.0,-0.509331
hazard,learned_compatibility,final_energy,99.97015,144.53545,44.5653,42.781428,46.349172,0.0,3.462376
hazard,learned_compatibility,prediction_error,0.688437,0.440508,-0.247929,-0.314877,-0.180981,0.0,-0.513254
hazard,learned_compatibility,transfer_uses,6.24,23.94,17.7,16.907551,18.492449,0.0,3.095585
hazard,learned_compatibility,transfer_strength,24.847902,72.288048,47.440145,41.629892,53.250398,0.0,1.131598
hazard,learned_compatibility,transfer_precision,0.883891,0.974,0.090109,0.050247,0.129971,9e-06,0.313293
hazard,learned_compatibility,learned_table_size,0.0,3.485,3.485,3.38198,3.58802,0.0,4.688369
hazard,learned_compatibility,learned_total_observations,0.0,20.0,20.0,20.0,20.0,0.0,0.0
hazard,learned_compatibility,learned_mean_score,0.0,0.347117,0.347117,0.32762,0.366615,0.0,2.467407
hazard,learned_plus_hardcoded,first_task_success_tick,8.845,9.89,1.045,0.060549,2.029451,0.037475,0.147117
hazard,learned_plus_hardcoded,task_completion_rate,0.765,0.595,-0.17,-0.25464,-0.08536,8.3e-05,-0.278365
hazard,learned_plus_hardcoded,contradictions,0.825,0.425,-0.4,-0.517895,-0.282105,0.0,-0.470225
hazard,learned_plus_hardcoded,reward,5.44515,4.3546,-1.09055,-1.612765,-0.568335,4.3e-05,-0.289426
hazard,learned_plus_hardcoded,invalid_actions,0.825,0.425,-0.4,-0.517895,-0.282105,0.0,-0.470225
hazard,learned_plus_hardcoded,final_energy,99.97015,144.8411,44.87095,43.038853,46.703047,0.0,3.39436
hazard,learned_plus_hardcoded,prediction_error,0.688437,0.468433,-0.220003,-0.28809,-0.151917,0.0,-0.447826
hazard,learned_plus_hardcoded,transfer_uses,6.24,24.17,17.93,17.096528,18.763472,0.0,2.98147
hazard,learned_plus_hardcoded,transfer_strength,24.961413,66.400389,41.438976,36.186702,46.69125,0.0,1.09346
hazard,learned_plus_hardcoded,transfer_precision,0.883891,0.971667,0.087776,0.047813,0.127739,1.7e-05,0.304407
hazard,learned_plus_hardcoded,learned_table_size,0.0,3.46,3.46,3.357109,3.562891,0.0,4.660569
hazard,learned_plus_hardcoded,learned_total_observations,0.0,20.0,20.0,20.0,20.0,0.0,0.0
hazard,learned_plus_hardcoded,learned_mean_score,0.0,0.351631,0.351631,0.331717,0.371545,0.0,2.447227
