tick,semantic_success_rate,lexicon_divergence,misaction_rate,repair_count,condition
35,0.9848250000000001,0.7862403817807635,0.15175,0.0,repair_enabled
36,0.9858,0.7862403817807635,0.142,0.0,repair_enabled
37,0.9853000000000001,0.7862403817807635,0.147,0.0,repair_enabled
38,0.985525,0.7862403817807635,0.14475,0.0,repair_enabled
39,0.985525,0.7862403817807635,0.14475,0.0,repair_enabled
40,0.98465,0.7862403817807635,0.1535,0.0,repair_enabled
41,0.9852249999999999,0.7862403817807635,0.14775,0.0,repair_enabled
42,0.9843999999999999,0.7862403817807635,0.156,0.0,repair_enabled
43,0.9848,0.7862403817807635,0.15200000000000002,0.0,repair_enabled
44,0.985325,0.7862403817807635,0.14675000000000002,0.0,repair_enabled
45,0.9847,0.7862403817807635,0.153,0.0,repair_enabled
46,0.9848,0.7862403817807635,0.15200000000000002,0.0,repair_enabled
47,0.98515,0.7862403817807635,0.1485,0.0,repair_enabled
48,0.9854999999999999,0.7862403817807635,0.145,0.0,repair_enabled
49,0.985275,0.7862403817807635,0.14725,0.0,repair_enabled
50,0.9852249999999999,0.7862403817807635,0.14775,0.0,repair_enabled
51,0.985525,0.7862403817807635,0.14475,0.0,repair_enabled
52,0.985175,0.7862403817807635,0.14825,0.0,repair_enabled
53,0.98455,0.7862403817807635,0.1545,0.0,repair_enabled
54,0.98575,0.7862403817807635,0.1425,0.0,repair_enabled
55,0.9852500000000001,0.7862403817807635,0.1475,0.0,repair_enabled
56,0.9843999999999999,0.7862403817807635,0.156,0.0,repair_enabled
57,0.984675,0.7862403817807635,0.15325,0.0,repair_enabled
58,0.984575,0.7862403817807635,0.15425,0.0,repair_enabled
59,0.984675,0.7862403817807635,0.15325,0.0,repair_enabled
60,0.985125,0.7862403817807635,0.14875,0.0,repair_enabled
61,0.9853749999999999,0.7862403817807635,0.14625,0.0,repair_enabled
62,0.985175,0.7862403817807635,0.14825000000000002,0.0,repair_enabled
63,0.98575,0.7862403817807635,0.1425,0.0,repair_enabled
64,0.9843500000000001,0.7862403817807635,0.1565,0.0,repair_enabled
65,0.9848,0.7862403817807635,0.15200000000000002,0.0,repair_enabled
66,0.984525,0.7862403817807635,0.15475,0.0,repair_enabled
67,0.985625,0.7862403817807635,0.14375,0.0,repair_enabled
68,0.985925,0.7862403817807635,0.14075000000000001,0.0,repair_enabled
69,0.98575,0.7862403817807635,0.1425,0.0,repair_enabled
70,0.985425,0.7862403817807635,0.14575,0.0,repair_enabled
71,0.9849249999999999,0.7862403817807635,0.15075,0.0,repair_enabled
72,0.9856,0.7862403817807635,0.14400000000000002,0.0,repair_enabled
73,0.984725,0.7862403817807635,0.15275,0.0,repair_enabled
74,0.9850249999999999,0.7862403817807635,0.14975,0.0,repair_enabled
75,0.9845999999999999,0.7862403817807635,0.154,0.0,repair_enabled
76,0.985825,0.7862403817807635,0.14175000000000001,0.0,repair_enabled
77,0.986,0.7862403817807635,0.14,0.0,repair_enabled
78,0.9839,0.7862403817807635,0.161,0.0,repair_enabled
79,0.986075,0.7862403817807635,0.13925,0.0,repair_enabled
80,0.984225,0.7862403817807635,0.15775,0.0,repair_enabled
81,0.984075,0.7862403817807635,0.15925,0.0,repair_enabled
82,0.9858,0.7862403817807635,0.142,0.0,repair_enabled
83,0.9854999999999999,0.7862403817807635,0.145,0.0,repair_enabled
84,0.9853999999999999,0.7862403817807635,0.146,0.0,repair_enabled
85,0.98485,0.7862403817807635,0.1515,0.0,repair_enabled
86,0.985925,0.7862403817807635,0.14075000000000001,0.0,repair_enabled
87,0.985275,0.7862403817807635,0.14725,0.0,repair_enabled
88,0.983875,0.7862403817807635,0.16125,0.0,repair_enabled
89,0.9846250000000001,0.7862403817807635,0.15375,0.0,repair_enabled
90,0.9854999999999999,0.7862403817807635,0.145,0.0,repair_enabled
91,0.9850749999999999,0.7862403817807635,0.14925,0.0,repair_enabled
